"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Contacts","Contact form","0","0","10","0","0"
"","","","0","2","63","0","0"
"","Product Catalog","The one where Sally searches for a more general term","0","0","1","0","0"
"","Product Catalog","The one where Sally only wants to see Hand Saws","0","0","1","0","0"
"","Product Catalog","Sally sorts by different criteria","0","0","4","0","0"
"","Shopping Cart","Checking out a product","0","0","2","0","0"
"","Product Catalog","Searching for products","0","0","3","0","0"
"","Product Catalog","The one where Sally searches for a product that doesn't exist","0","0","1","0","0"
"","Product Catalog","The one where Sally searches for an Adjustable Wrench","0","0","1","0","0"
